Korszak_Filter,Konfliktus_Filter,Terep_Filter,Matching_Categories_Sorted_String,Image_names,Categories_to_be_generated,Images-to-be-generated,Substring_Count
Első Világháború,Első Világháború,Mérsékelt Övi Síkság/Dombvidék,Autók|Ágyú löveg|Ágyú löveg,car.png|howizer.png|howizer.png,Autók|Ágyú löveg|Ágyú löveg,car.png|howizer.png|howizer.png,3
Első Világháború,Első Világháború,Partraszállás/Vízközeli,Hajók|Harcjármű modellek|Helikopter modellek|Repülő modellek|Repülő modellek,hajo.png|tank.png|helicopter.png|plane.png|plane.png,Hajók|Harcjármű modellek|Helikopter modellek|Repülő modellek|Repülő modellek,hajo.png|tank.png|helicopter.png|plane.png|plane.png,5
Első Világháború,Első Világháború,Városi Harc,Autók|Ágyú löveg|Ágyú löveg,car.png|howizer.png|howizer.png,Autók|Ágyú löveg|Ágyú löveg,car.png|howizer.png|howizer.png,3
Első Világháború,Első Világháború,Vízközeli,Hajók|Harcjármű modellek|Helikopter modellek|Repülő modellek|Repülő modellek,hajo.png|tank.png|helicopter.png|plane.png|plane.png,Hajók|Harcjármű modellek|Helikopter modellek|Repülő modellek|Repülő modellek,hajo.png|tank.png|helicopter.png|plane.png|plane.png,5
Fiktív,(Fiktív),(Fiktív),Autók|Autók|Hajók|Hajók|Hajók|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek|Harcjármű modellek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Star Wars|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók|Tengeralattjárók,car.png|car.png|hajo.png|hajo.png|hajo.png|tank.png|tank.png|tank.png|tank.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|katona.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|starwars.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png|submarine.png,Autók|Hajók|Harcjármű modellek|Helikopterek|Karakterek|Star Wars,car.png|hajo.png|tank.png|helicopter.png|katona.png|starwars.png,6
Hidegháború,Afganisztáni Háború,Dzsungel/Trópusi Erdő,Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek,helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png,Helikopterek|Karakterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek,helicopter.png|katona.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png,6
Hidegháború,Afganisztáni Háború,Hegyi Terep,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Helikopterek|Karakterek|Terptárgyak|Ágyú löveg|Helikopterek,hajo.png|submarine.png|helicopter.png|katona.png|howizer.png|helicopter.png,6
Hidegháború,Afganisztáni Háború,Mérsékelt Övi Síkság/Dombvidék,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Építési kellékek,hajo.png|submarine.png|hajo.png|submarine.png|hajo.png|submarine.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Karakterek|Raketa rendszerek|Terptárgyak,hajo.png|submarine.png|tank.png|helicopter.png|katona.png|Raketa rendszerek.png,6
Hidegháború,Afganisztáni Háború,Sivatag,Hajó és tengeralattjáró modellek|Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Helikopterek|Karakterek|Karakterek|Karakterek|Karakterek|Karakterek|Raketa rendszerek|Terptárgyak|Terptárgyak|Ágyú löveg|Ágyú löveg|Építési kellékek,hajo.png|submarine.png|hajo.png|submarine.png|tank.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|helicopter.png|katona.png|katona.png|katona.png|katona.png|katona.png|Raketa rendszerek.png|howizer.png|howizer.png,Hajó és tengeralattjáró modellek|Harcjármű|Helikopterek|Karakterek|Raketa rendszerek|Terptárgyak,hajo.png|submarine.png|tank.png|helicopter.png|katona.png|Raketa rendszerek.png,6
Hidegháború,Afganisztáni Háború,Tundra/Havas Táj,Hajó és tengeralattjáró modellek|Terptárgyak,hajo.png|submarine.png,Hajó és tengeralattjáró modellek|Terptárgyak,hajo.png|submarine.png,2
